                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5087,                 5.7606,                 4.3615,                      0,                      0,                      0,                      0,                 3.4537,                 5.3062,                  4.164,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                 3.6226,                 5.7057,                 4.2681,                      0,                      0,                      0,                      0,                 3.4517,                 5.3049,                 4.1695,             7.7934e-05,             7.7934e-05,             7.7934e-05
                      3,                 3.5521,                 5.7462,                  4.279,                      0,                      0,                      0,                      0,                 3.4367,                  5.296,                 4.1713,             0.00011604,             0.00011604,             0.00011604
                      4,                  3.635,                 5.7276,                 4.2622,                0.69333,                0.00282,                0.00215,                0.00047,                 3.3982,                 5.2802,                 4.2708,             0.00011547,             0.00011547,             0.00011547
                      5,                 3.7325,                 5.7445,                 4.2467,                0.53699,                 0.0005,                 0.0003,                0.00014,                 3.4036,                 5.3991,                 4.4249,             0.00011547,             0.00011547,             0.00011547
                      6,                 3.5223,                  5.631,                 4.2375,                0.60763,                0.00056,                0.00049,                0.00016,                 3.4206,                 6.5038,                 4.4759,             0.00011429,             0.00011429,             0.00011429
                      7,                 3.5797,                 5.6385,                 4.2348,                0.73243,                0.00017,                  2e-05,                  1e-05,                 3.4183,                 6.2363,                 4.3471,             0.00011311,             0.00011311,             0.00011311
                      8,                 3.5481,                 5.7171,                 4.2245,                0.00039,                0.01055,                0.00029,                0.00011,                 3.4275,                 7.3831,                  4.369,             0.00011193,             0.00011193,             0.00011193
                      9,                 3.5578,                 5.6265,                 4.2076,                0.00062,                 0.0105,                 0.0005,                0.00017,                 3.4151,                 7.0245,                 4.3213,             0.00011075,             0.00011075,             0.00011075
                     10,                 3.5371,                 5.5818,                  4.208,                 0.0019,                 0.0086,                 0.0011,                0.00024,                 3.4274,                 7.1444,                 4.3486,             0.00010958,             0.00010958,             0.00010958
